id,name,calories,protein,carbs,fat,region
1,Rice (Cooked 100g),130,2.7,28,0.3,in
2,Roti (1 piece),120,3.5,20,3.7,in
3,Dal Tadka (1 cup),180,9,25,5,in
4,Paneer Butter Masala (1 cup),350,14,12,28,in
5,Chicken Curry (1 cup),250,25,8,14,in
6,Chole (1 cup),210,10,30,7,in
7,Rajma (1 cup),215,12,32,5,in
8,Idli (2 pieces),130,4,24,1,in
9,Dosa (1 plain),120,3,18,4,in
10,Sambar (1 cup),90,5,14,2,in
11,Upma (1 cup),200,5,32,6,in
12,Poha (1 cup),180,4,30,5,in
13,Aloo Paratha (1 piece),300,6,38,14,in
14,Egg Bhurji (2 eggs),180,13,3,13,in
15,Tandoori Chicken (1 piece),165,25,3,6,in
16,Biryani (1 cup),250,10,35,8,in
17,Palak Paneer (1 cup),240,12,10,18,in
18,Raita (1 cup),80,4,8,3,in
19,Lassi (1 glass),150,5,22,4,in
20,Chai (1 cup with milk),60,2,8,2,in
21,Banana (1 medium),105,1.3,27,0.4,in
22,Apple (1 medium),95,0.5,25,0.3,in
23,Mango (1 cup),99,1.4,25,0.6,in
24,Curd/Yogurt (1 cup),100,8,6,5,in
25,Milk (1 glass 250ml),150,8,12,8,in
26,Mixed Vegetable Sabzi (1 cup),120,3,15,5,in
27,Fish Curry (1 cup),200,22,6,10,in
28,Masala Dosa (1 piece),250,6,30,12,in
29,Pav Bhaji (1 plate),400,10,50,18,in
30,Khichdi (1 cup),200,7,32,4,in
